"ICAO","IATA","airport","city","nation"
"FAOR","JNB","O·R·坦博國際機場","約翰尼斯堡","南非"
"FAPA","AFD","艾爾弗雷德港機場","東開普省艾爾弗雷德港","南非"
"FAPE","PLZ","Hf Verwoerd","伊麗沙伯港","南非"
"FAPP","PTG","","Pietersburg","南非"
"FARB","RCB","Richards Bay","Richards Bay","南非"
"FASC","ZEC","Secunda Airport","Secunda","南非"
"FAUP","UTN","Municipal","Upington","南非"
"FAVY","VYD","Vryheid Airport","弗萊海德","南非"
"FBFT","FRW","弗朗西斯敦機場","弗朗西斯敦，東北區","博茨瓦納"
"FBGZ","GNZ","杭濟機場","杭濟，杭濟區","博茨瓦納"
"FBKE","BBK","卡薩內機場","西北區卡薩內","博茨瓦納"
"FBMN","MUB","","Maun","博茲瓦那"
"FBSK","GBE","塞雷茨·卡馬爵士國際機場","嘉柏隆里，東南區","博茨瓦納"
"FCBB","BZV","馬亞-馬亞國際機場","布拉柴維爾","剛果"
"FCBD","DJM","兼巴拉機場","兼巴拉，高原省","剛果"
"FCBZ","ANJ","扎納加機場","萊庫穆省扎納加","剛果"
"FCOB","BOE","本吉機場","盆地省本吉","剛果"
"FCOE","EWO","埃沃機場","埃沃，西盆地省","剛果"
"FCOG","GMM","甘博馬機場","甘博馬，高原省","剛果"
"FCOO","FTX","奧旺多機場","奧旺多，盆地省","剛果"
"FCOT","BTB","Betou機場","利誇拉省 Betou","剛果"
"FCPL","DIS","多利西機場","多利西，尼阿里省","剛果"
"FCPP","PNR","Pointe Noire","Pointe Noire","剛果"
"FDSK","SHO","","Sokcho","南韓"
"FEFC","CRF","卡諾機場","卡諾，曼貝雷-卡代省","中非"
"FEFF","BGF","班吉-姆波科國際機場","班基","中非"
"FEFG","BGU","班加蘇機場","姆博穆省班加蘇","中非"
"FEFM","BBY","班巴里機場","瓦卡省班巴里","中非"
"FEFO","BOP","布阿爾機場","納納-曼貝雷省布阿爾","中非"
"FEFR","BIV","布里亞機場","上科託省布里亞","中非"
"FEFS","BSN","博桑戈阿機場","瓦姆省博桑戈阿","中非"
"FEFT","BBT","貝貝拉蒂機場","曼貝雷-卡代省貝貝拉蒂","中非"
"FEFY","AIG","亞林加機場","上科託省亞林加","中非"
"FEGF","BTG","Batangafo機場","瓦姆省 Batangafo","中非"
"FEGM","BMF","巴庫馬機場","姆博穆省 巴庫馬","中非"
"FEGU","BCF","布卡機場","瓦姆省 布卡","中非"
"FEGZ","BOZ","博祖姆機場","瓦姆-彭代省博祖姆","中非"
"FFKM","FOM","豐班Nkounja機場","豐班，西部省","喀麥隆"
"FGBT","BSG","巴塔機場","濱海省巴塔","赤道幾內亞"
"FGMY","GEM","奧比昂·恩圭馬總統國際機場","蒙戈梅因，韋萊-恩薩斯省","赤道幾內亞"
"FGOF","FOU","富加穆機場","富加穆，恩古涅省","加彭"
"FGSL","SSG","馬拉博聖伊莎貝爾機場","馬拉博","赤道幾內亞"
"FHAW","ASI","阿森鬆島皇家空軍基地","喬治敦","阿森鬆島"
"FIMP","MRU","Plaisance","Mauritius","毛里求斯"
"FIMR","RRG","Rodrigues","Rodrigues Island","毛里求斯"
"FKKD","DLA","杜阿拉國際機場","杜阿拉，濱海區","喀麥隆"
"FKKG","BLC","巴里機場","西北區"""" 巴里","喀麥隆"
"FKKO","BTA","貝爾圖阿機場","東部區貝爾圖阿","喀麥隆"
"FKKR","GOU","加魯阿國際機場","加魯阿，北部省","喀麥隆"
"FKKS","DSC","姜鎮機場","姜鎮，西部區","喀麥隆"
"FKKU","BFX","巴富薩姆機場","西部區巴富薩姆","喀麥隆"
"FKKV","BPC","巴門達機場","西北區巴門達","喀麥隆"
"FKKW","EBW","埃博洛瓦機場","埃博洛瓦，南部區","喀麥隆"
"FKKY","YAO","雅溫得機場","雅溫得","喀麥隆"
"FLCP","CIP","奇帕塔機場","奇帕塔，東方省","尚比亞"
"FLKE","ZKP","Kasompe Airport","欽戈拉","尚比亞"
"FLKY","ZKB","Kasaba Bay Airport","Kasaba Bay","尚比亞"
"FLLI","LVI","Livingstone","Livingstone","尚比亞"
"FLLS","LUN","路沙卡國際機場","路沙卡","尚比亞"
"FLNA","ZGM","Ngoma Airport","Ngoma","尚比亞"
"FLND","NLA","Ndola","Ndola","尚比亞"
"FLZB","BBZ","贊比西機場","西北省"""" 贊比西","尚比亞"
"FMCN","YVA","Iconi Airport","莫洛尼","葛摩"
"FMCV","AJN","昂儒昂機場","昂儒昂島","科摩羅"
"FMCZ","DZA","藻德濟-Pamanzi國際機場","藻德濟","馬約特"
"FMEP","ZSE","Pierrefonds Airport","聖皮埃爾","留尼旺"
"FMMC","WML","Malaimbandy Airport","馬拉因班迪","馬達加斯加"
"FMME","ATJ","安齊拉貝機場","瓦卡南卡拉特拉安齊拉貝","馬達加斯加"
"FMMK","WTS","Tsiroanomandidy Airport","齊魯阿努曼迪迪","馬達加斯加"
"FMML","BMD","貝盧-齊裡比希納機場","梅納貝區貝盧-齊裡比希納","馬達加斯加"
"FMMN","ZVA","Miandrivazo Airport","米安德里瓦祖","馬達加斯加"
"FMMS","SMS","","聖瑪麗","馬達加斯加"
"FMMU","WTA","Tambohorano Airport","坦布胡拉努","馬達加斯加"
"FMNA","DIE","Arrachart機場","安齊拉納納，第亞那區","馬達加斯加"
"FMND","ZWA","Andapa Airport","安達帕","馬達加斯加"
"FMNE","AMB","安比盧貝機場","第亞那區安比盧貝","馬達加斯加"
"FMNG","WPB","Port Berge Airport","Port Berge","馬達加斯加"
"FMNH","ANM","安齊拉巴圖機場","薩瓦區安塔拉哈","馬達加斯加"
"FMNO","DWB","蘇阿拉拉機場","蘇阿拉拉，博愛尼區","馬達加斯加"
"FMNQ","BPY","貝薩蘭皮機場","梅拉基區貝薩蘭皮","馬達加斯加"
"FMNX","WMA","Mandritsara Airport","曼德里察拉","馬達加斯加"
"FMSD","FTU","陶拉納魯機場","陶拉納魯，阿諾西區","馬達加斯加"
"FMSF","WFI","菲亞納蘭楚阿機場","菲亞納蘭楚阿","馬達加斯加"
"FMSV","BKU","貝蒂烏基機場","阿齊莫-安德列發那區 貝蒂烏基","馬達加斯加"
"FMSY","AMP","安帕尼希機場","安帕尼希，阿齊莫-安德列發那區","馬達加斯加"
"FNAM","AZZ","安布里什機場","安布里什，本哥省","安哥拉"
"FNBG","BUG","本吉拉機場","本吉拉省本吉拉","安哥拉"
"FNCA","CAB","卡賓達機場","卡賓達，喀丙達省","安哥拉"
"FNCF","CFF","Cafunfo機場","Cafunfo","安哥拉"
"FNCT","CBT","卡通布拉機場","卡通布拉","安哥拉"
"FNCV","CTI","奎託誇納瓦萊機場","奎託誇納瓦萊，庫安多古班哥省","安哥拉"
"FNCZ","CAV","卡宗博機場","卡宗博，莫希科省","安哥拉"
"FNDU","DUE","棟多機場","棟多，北倫達省","安哥拉"
"FNLU","LAD","Fevereiro","Luanda","安哥拉"
"FNWK","CEO","瓦庫昆戈機場","瓦庫昆戈，南廣薩省","安哥拉"
"FNXA","XGN","Xangongo Airport","桑貢戈","安哥拉"
"FNZE","ARZ","恩澤託機場","薩伊省恩澤託","安哥拉"
"FOGA","AKE","阿基埃尼機場","上奧果韋省阿基埃尼","加彭"
"FOGB","BGB","博韋機場","奧果韋-伊溫多省 博韋","加彭"
"FOOB","BMM","比塔姆機場","沃勒-恩特姆省 比塔姆","加彭"
"FOOG","POG","Port Gentil","Port Gentil","加蓬"
"FOOL","LBV","Libreville","Libreville","加蓬"
"FOOS","ZKM","Sette Cama Airport","Akieni","加彭"
"FQAG","ANO","安戈謝機場","楠普拉省安戈謝","莫桑比克"
"FQBR","BEW","貝拉機場","索法拉省貝拉","莫桑比克"
"FQCB","FXO","誇姆巴機場","誇姆巴，尼亞薩省","莫桑比克"
"FQCH","VPY","Chimoio Airport","希莫尤","莫三比克"
"FQLC","VXC","Lichinga Airport","利欣加","莫三比克"
"FQMA","MPM","Maputo International","Maputo","莫三比克"
"FQNP","APL","楠普拉機場","楠普拉省楠普拉","莫桑比克"
"FQVL","VNX","Vilankulo Airport","維蘭庫洛","莫三比克"
"FQXA","VJB","Xai Xai Airport","賽賽","莫三比克"
"FSDR","DES","德羅什機場","德羅什島","塞舌爾"
"FSIA","SEZ","塞席爾國際機場","馬埃島","塞席爾"
"FSPP","PRI","","Praslin Island","Seychelles"
"FSSB","BDI","伯德島機場","伯德島","塞舌爾"
"FSSD","DEI","丹尼斯島機場","丹尼斯島","塞舌爾"
"FSSF","FRK","弗雷格特島機場","弗雷格特島","塞舌爾"
"FTTC","AEH","阿貝歇機場","瓦達伊區阿貝歇","乍得"
"FTTI","ATV","阿提機場","巴塔區阿提","乍得"
"FTTJ","NDJ","N'djamena","N Djamena","乍得"
"FTTK","BKR","博科羅機場","哈傑爾-拉密區 博科羅","乍得"
"FTTN","AMC","安提曼機場","薩拉馬特區安提曼","乍得"
"FTTU","AMO","馬奧機場","加奈姆區馬奧","乍得"
"FTTY","FYT","法亞-拉若機場","法亞-拉若，博爾庫區","乍得"
"FVBU","BUQ","Joshua Mqabuko Nkomo國際機場","北馬塔貝萊蘭省布拉瓦約","辛巴威"
"FVCH","CHJ","奇平加機場","奇平加","辛巴威"
"FVCZ","BFO","水牛嶺機場","馬斯溫戈省 Chiredzi","辛巴威"
"FVFA","VFA","Victoria Falls Airport","Victoria Falls","辛巴威"
"FVKB","KAB","Kariba","加里巴","辛巴威"
"FWCD","CEH","Chelinda機場","Chelinda","馬拉維"
"FWCL","BLZ","Chileka國際機場","布蘭太爾<U+770C>布蘭太爾","馬拉維"
"FWCM","CMK","Club Makokola機場","Club Makokola","馬拉維"
"FWDW","DWA","杜萬瓜機場","杜萬瓜，中央區","馬拉維"
"FWKI","LLW","裡朗威國際機場","裡朗威","馬拉威"
"FWUU","ZZU","Mzuzu Airport","姆祖祖","馬拉威"
"FXMM","MSU","Maseru","Maseru","萊索托"
"FYAR","ADI","阿蘭迪斯機場","埃龍戈區阿蘭迪斯","納米比亞"
"FYGB","GOG","戈巴比斯機場","戈巴比斯，奧馬海凱區","納米比亞"
"FYGF","GFY","赫魯特方丹空軍基地","赫魯特方丹，奧喬宗朱帕區","納米比亞"
"FYKM","MPA","","Mpacha","納米比亞"
"FYLZ","LUD","Luderitz","Luderitz","納米比亞"
"FYSM","SWP","","Swakopmund","納米比亞"
"FYWB","WVB","Walvis Bay Airport","華維斯灣","納米比亞"
"FYWE","ERS","厄洛斯機場","溫得和克，霍馬斯區","納米比亞"
"FYWH","WDH","霍齊亞·庫塔科國際機場","溫得和克","納米比亞"
"FZAJ","BOA","博馬機場","中剛果省博馬","剛果"
"FZBO","FDU","班頓杜機場","班頓杜，班頓杜省","剛果"
"FZEN","BSU","巴桑庫蘇機場","赤道省巴桑庫蘇","剛果"
"FZFD","BDT","戈巴多萊機場","北烏班吉省戈巴多萊","剛果"
"FZFK","GMA","蓋梅納機場","蓋梅納，赤道省","剛果"
"FZFU","BMB","奔巴機場","赤道省奔巴","剛果"
"FZGN","BNB","博恩代機場","赤道省博恩代","剛果"
"FZIC","FKI","Bangoka國際機場","基桑加尼，喬波省","剛果"
"FZIR","YAN","Yangambi Airport","揚甘比","剛果民主共和國"
"FZKA","BUX","布尼亞機場","伊圖裡省布尼亞","剛果"
"FZKJ","BZU","布塔Zega機場","下韋萊省布塔","剛果"
"FZMA","BKY","卡武穆機場","南基伍省布卡武","剛果"
"FZNA","GOM","戈馬國際機場","戈馬，北基伍省","剛果"
"FZNP","BNC","貝尼機場","北基伍省"""" 貝尼","剛果"
"FZQA","FBM","盧本巴希國際機場","盧本巴希，上加丹加省","剛果"
"FZRB","BDV","莫巴機場","加丹加省"""" 莫巴","剛果"
"FZRF","FMI","卡萊米機場","卡萊米，坦噶尼喀省","剛果"
"FZVR","BAN","巴鬆戈機場","巴鬆戈","剛果"
"FZWC","GDJ","甘達吉卡機場","甘達吉卡，東開賽省","剛果"
"FZZA","FIH","恩吉利國際機場","金夏沙","剛果"
"GABS","BKO","巴馬科國際機場","巴馬科","馬裡"
"GACO","GAQ","加奧國際機場","加奧，加奧區","馬來西亞"
"GAYE","EYL","耶利馬內機場","耶利馬內，卡伊區","馬裡"
"GBYD","BJL","班珠爾國際機場","班珠爾","岡比亞"
"GCCM","GMZ","戈梅拉機場","戈梅拉島，加那利群島","西班牙"
"GCFV","FUE","富埃特文圖拉機場","羅薩裡奧港，加那利群島","西班牙"
"GCHI","VDE","耶羅機場","耶羅島","西班牙"
"GCLA","SPC","拉帕爾馬機場","拉帕爾馬島","西班牙"
"GCLP","LPA","大加那利機場","大加那利島","西班牙"
"GCRR","ACE","加那利群島蘭薩羅特機場","蘭薩羅特島","西班牙"
"GCTS","TFS","特內裡費南部機場","特內裡費島","西班牙"
"GCXO","TFN","特內裡費北部機場","特內裡費島","西班牙"
"GFBN","BTE","歇爾布羅國際機場","南方省歇爾布羅島","塞拉利昂"
"GFBO","KBS","博城機場","博城","塞拉利昂"
"GFGK","GBK","邦巴托克機場","邦巴托克","塞拉利昂"
"GFKE","KEN","凱內馬機場","凱內馬","塞拉利昂"
"GFLL","FNA","隆吉國際機場","弗里敦，西部區市區","塞拉利昂"
"GFYE","WYE","Yengema Airport","Yengema","獅子山"
"GGBU","BQE","布巴克機場","博拉馬區布巴克","赤道幾內亞"
"GLCP","CPA","帕爾馬斯角機場","哈珀，馬裡蘭縣","利比裡亞"
"GLVA","VOI","Voinjama Airport","沃因賈馬","賴比瑞亞"
"GMAD","AGA","阿加迪爾-馬西拉機場","蘇斯-馬塞-德拉大區阿加迪爾","摩洛哥"
"GMFF","FEZ","非斯-薩爾斯機場","非斯，非斯-布勒曼大區","摩洛哥"
"GMFK","ERH","Moulay Ali Cherif機場","拉希迪耶，梅克內斯-塔菲拉勒特大區","摩洛哥"
"GMMB","GMD","本蘇萊曼機場","本蘇萊曼，沙維雅-瓦拉迪格大區","摩洛哥"
"GMMC","CAS","卡薩布蘭卡-安發機場","卡薩布蘭卡，大卡薩布蘭卡大區","摩洛哥"
"GMMD","BEM","貝尼邁拉勒機場","貝尼邁拉勒-海尼夫拉省","摩洛哥"
"GMME","RBA","Sale","Rabat","摩洛哥"
"GMMH","VIL","Dakhla Airport","達克拉","西撒哈拉"
"GMMI","ESU","索維拉-莫加多爾機場","索維拉，馬拉喀什-坦西夫特-豪茲大區","摩洛哥"
"GMML","EUN","哈斯桑一世機場","阿尤恩，阿尤恩-布支杜爾-薩基亞-阿姆拉大區","摩洛哥"
"GMMN","CMN","穆罕默德五世國際機場","卡薩布蘭加，大卡薩布蘭卡大區","摩洛哥"
"GMMZ","OZZ","Ouarzazate","Ouarzazate","摩洛哥"
"GMTA","AHU","Cherif伊德里西機場","塔扎-胡塞馬-陶納特大區胡塞馬","摩洛哥"
"GMTT","TNG","Boukhalef Souahel","Tangier","摩洛哥"
"GOGG","ZIG","Ziguinchor Airport","濟金紹爾","塞內加爾"
"GOGS","CSK","Cap Skirring機場","Cap Skirring","塞內加爾"
"GOOY","DKR","達喀爾-約夫-利奧波德·塞達爾·桑戈爾國際機場","達喀爾，達喀爾區","塞內加爾"
"GOSS","XLS","Saint-Louis Airport","聖路易","塞內加爾"
"GOTB","BXE","巴克爾機場","坦巴昆達區巴克爾","塞內加爾"
"GQNA","AEO","阿尤恩阿特魯斯機場","西胡德省阿尤恩阿特魯斯","毛裡塔尼亞"
"GQNE","BGH","Abbaye機場","鮑埃","毛裡塔尼亞"
"GQNI","EMN","內馬機場","內馬，東胡德省","毛裡塔尼亞"
"GQNJ","AJJ","阿克茹特機場","因希裡省阿克茹特","毛裡塔尼亞"
"GQNO","NKC","Nouakchott","Nouakchott","茅利塔尼亞"
"GQPA","ATR","阿德拉爾省阿塔爾國際機場","阿塔爾","毛裡塔尼亞"
"GQPF","FGD","弗德里克機場","弗德里克","毛裡塔尼亞"
"GUCY","CKY","科納克里國際機場","科納克里","幾內亞"
"GUFA","FIG","弗裡亞機場","弗裡亞","幾內亞"
"GUFH","FAA","法拉納機場","法拉納","幾內亞"
"GUOK","BKJ","博凱Baralande機場","博凱大區 博凱","加彭"
"GUSI","GII","錫吉里機場","錫吉里，康康大區","幾內亞"
"GVAC","SID","Amilcar Cabral International","Sal","Cape Verde"
"GVBA","BVC","阿里斯蒂德斯·佩雷拉國際機場","佛得角 博阿維斯塔島",""
"GVBR","BVR","Esperadinha機場","布拉瓦島 Esparadinha","佛得角"
"GVSV","VXE","S<U+00E3>o Pedro Airport","聖維森特島","維德角"
"HAAB","ADD","博萊國際機場","亞的斯亞貝巴","埃塞俄比亞"
"HAAL","","Lideta空軍基地","亞的斯亞貝巴","埃塞俄比亞"
"HAAM","AMH","阿爾巴門奇機場","阿爾巴門奇","埃塞俄比亞"
"HAAX","AXU","阿克蘇姆機場","阿克蘇姆","埃塞俄比亞"
"HABB","XBL","Bedele Airport","Bedele","衣索比亞"
"HABC","BCO","金卡機場","南方州金卡","衣索比亞"
"HABD","BJR","巴赫達爾機場","巴赫達爾","埃塞俄比亞"
"HABE","BEI","貝卡機場","貝卡","埃塞俄比亞"
"HABU","BCY","保志機場","保志","埃塞俄比亞"
"HADC","DSE","Combolcha機場","德西","埃塞俄比亞"
"HADD","DEM","登比多洛機場","登比多洛","埃塞俄比亞"
"HADM","DBM","德勃雷馬高機場","德勃雷馬高","埃塞俄比亞"
"HADR","DIR","德雷達瓦國際機場","德雷達瓦","埃塞俄比亞"
"HADT","DBT","德勃雷塔博爾機場","德勃雷塔博爾","埃塞俄比亞"
"HAFN","FNH","菲尼查機場","菲尼查","埃塞俄比亞"
"HAGB","GOB","路乎機場","戈巴","埃塞俄比亞"
"HAGH","GNN","吉尼爾機場","吉尼爾","衣索比亞"
"HAGM","GMB","甘貝拉機場","甘貝拉","埃塞俄比亞"
"HAGN","GDQ","戈德機場","戈德","埃塞俄比亞"
"HAGO","GDE","戈德機場（軍用）","戈德","埃塞俄比亞"
"HAGR","GOR","戈爾機場","戈爾","埃塞俄比亞"
"HAHM","QHR","哈勒爾梅達機場","德佈雷塞特","埃塞俄比亞"
"HAHU","HUE","胡梅拉機場","胡梅拉","埃塞俄比亞"
"HAJM","JIM","吉馬機場","吉馬","埃塞俄比亞"
"HAKD","ABK","Kabri Dar機場","Kabri Dar","埃塞俄比亞"
"HAKL","LFO","Kelafo機場","Kelafo","埃塞俄比亞"
"HALA","AWA","阿瓦薩機場","阿瓦薩","埃塞俄比亞"
"HAMK","MQX","阿盧拉阿壩機場","Mek'ele","埃塞俄比亞"
"HAMM","ETE","Genda Wuha機場","米提瑪，阿姆哈拉州","衣索比亞"
"HAMN","NDM","門迪機場","門迪","埃塞俄比亞"
"HAMT","MTF","米贊泰菲力機場","米贊泰菲力","埃塞俄比亞"
"HANG","EGL","Neghele機場（軍用）","訥格萊勃然","埃塞俄比亞"
"HANJ","NEJ","內喬機場","內喬","埃塞俄比亞"
"HANK","NEK","Nekemte機場","Nekemte","埃塞俄比亞"
"HASO","ASO","阿索薩機場","阿索薩","埃塞俄比亞"
"HATP","TIE","特比機場","特比","埃塞俄比亞"
"HAWC","WAC","瓦卡機場","瓦卡","埃塞俄比亞"
"HBBA","BJM","布瓊布拉國際機場","布瓊布拉","布隆迪"
"HBBE","GID","基特加機場","基特加","布隆迪"
"HBBO","KRE","基隆多機場","基隆多","布隆迪"
"HCMA","ALU","阿盧拉機場","阿盧拉","索馬里"
"HCMB","BIB","拜多亞機場","拜多亞","索馬里"
"HCMC","CXN","加達拉機場","加達拉","索馬里"
"HCMD","BSY","巴德拉機場","巴德拉","索馬里"
"HCME","HCM","艾奧機場","艾奧","索馬里"
"HCMF","BSA","本德爾卡西姆國際機場","博薩索","索馬里"
"HCMG","GSR","噶爾都機場","噶爾都","索馬里"
"HCMH","HGA","埃加勒國際機場","哈爾格薩","索馬里"
"HCMI","BBO","柏培拉機場","柏培拉","索馬里"
"HCMK","KMU","基斯馬尤機場","基斯馬尤","索馬里"
"HCMM","MGQ","摩加迪沙機場","摩加迪沙","索馬里"
"HCMO","CMO","霍比奧機場","霍比奧","索馬里"
"HCMR","GLK","Galcaio機場","Galcaio","索馬里"
"HCMS","CMS","Scusciuban機場","Scusciuban","索馬里"
"HCMU","ERA","Erigavo機場","Erigavo","索馬里"
"HCMV","BUO","布拉奧機場","布拉奧","索馬里"
"HDAG","HDAG","阿薩蓋拉機場","阿薩蓋拉","吉布提"
"HDAM","JIB","吉布提－安布利國際機場","吉布堤市","吉布提"
"HDAS","AII","阿里薩比耶機場","阿里薩比耶","吉布提"
"HDCH","HDCH","查貝爾萊伊機場","查貝爾萊伊","吉布提"
"HDDK","HDDK","迪基勒機場","迪基勒","吉布提"
"HDHE","HDHE","Herkale機場","Herkale","吉布提"
"HDMO","MHI","牟查機場","牟查島","吉布提"
"HDOB","OBC","奧博克機場","奧博克","吉布提"
"HDTJ","TDJ","塔朱拉機場","塔朱拉","吉布提"
"HEAL","DBB","阿萊曼國際機場","阿萊曼，馬特魯省","埃及"
"HEAR","AAC","阿里什國際機場","阿里什","埃及"
"HEAT","ATZ","艾斯尤特機場","艾斯尤特","埃及"
"HEAX","ALY","亞歷山大國際機場","亞歷山大港","埃及"
"HEBA","HBE","博格艾阿拉伯機場","亞歷山大港","埃及"
"HEBL","ABS","阿布辛貝機場","阿布辛貝","埃及"
"HECA","CAI","開羅國際機場","開羅","埃及"
"HECW","CWE","開羅西機場","開羅西方","埃及"
"HEDK","DAK","Dakhla綠洲機場","Dakhla綠洲","埃及"
"HEGN","HRG","古爾代蓋國際機場","洪加達","埃及"
"HEGO","HGO","埃爾—戈納伊夫機場","洪加達","埃及"
"HEGR","EGH","埃爾戈拉機場","埃爾戈拉","埃及"
"HELX","LXR","盧克索國際機場","盧克索","埃及"
"HEMA","RMF","馬爾薩阿拉姆國際機場","馬爾薩阿拉姆","埃及"
"HEMM","MUH","Mersa Matruh機場","Mersa Matruh","埃及"
"HEMN","EMY","明亞機場","明亞，明亞省","埃及"
"HENV","UVL","新河谷機場","新河谷省","埃及"
"HEOC","","十月六日機場","開羅西南方","埃及"
"HEOW","GSQ","Sharq Al-Owainat機場","Sharq Al-Owainat","埃及"
"HEPS","PSD","塞德港機場","塞德港","埃及"
"HESC","SKV","聖凱瑟琳國際機場","聖凱瑟琳","埃及"
"HESH","SSH","沙姆沙伊赫國際機場","沙姆沙伊赫","埃及"
"HESN","ASW","阿斯旺機場","阿斯旺","埃及"
"HETB","TCP","塔巴國際機場","塔巴","埃及"
"HETR","ELT","艾託機場","艾託","埃及"
"HHAS","ASM","阿斯馬拉國際機場","阿斯馬拉","厄立特里亞"
"HHMS","MSW","馬薩瓦國際機場","馬薩瓦","厄立特里亞"
"HHSB","ASA","阿薩布國際機場","阿薩布","厄立特里亞"
"HHTS","TES","Teseney機場","Teseney","厄立特里亞"
"HKAM","ASV","安博塞利機場","安博塞利","肯雅"
"HKEL","EDL","埃爾多雷特國際機場","埃爾多雷特","肯雅"
"HKES","EYS","伊勒泉機場","伊勒泉","肯雅"
"HKFG","KLK","卡爾勞科爾機場","卡爾勞科爾","肯雅"
"HKGA","GAS","加里薩機場","加里薩","肯雅"
"HKHO","HOA","浩拉機場","浩拉","肯雅"
"HKJK","NBO","喬莫·肯雅塔國際機場","內羅畢","肯雅"
"HKKG","GGM","卡卡梅加機場","卡卡梅加，西部省","肯尼亞"
"HKKI","KIS","基蘇木機場","基蘇木","肯雅"
"HKKL","ILU","Kilaguni機場","Kilaguni","肯雅"
"HKKR","KEY","凱裡喬機場","凱裡喬","肯雅"
"HKKT","KTL","基塔萊機場","基塔萊","肯雅"
"HKLO","LOK","Lodwar機場","Lodwar","肯雅"
"HKLU","LAU","曼達機場","拉穆鎮","肯雅"
"HKLY","LOY","萊陽嘉拉尼機場","萊陽嘉拉尼","肯雅"
"HKMA","NDE","曼德拉機場","曼德拉","肯雅"
"HKMB","RBT","馬薩比特機場","馬薩比特","肯雅"
"HKML","MYD","馬林迪機場","馬林迪","肯雅"
"HKMO","MBA","莫伊國際機場","蒙巴薩","肯雅"
"HKMY","OYL","摩亞雷下機場","摩亞雷","肯雅"
"HKNI","NYE","尼耶利機場","尼耶利","肯雅"
"HKNK","NUU","納庫魯機場","納庫魯","肯雅"
"HKNW","WIL","威爾遜","內羅畢","肯雅"
"HKNY","NYK","納紐基機場","納紐基","肯雅"
"HKRE","HKRE","莫伊空軍基地","內羅畢","肯雅"
"HKSB","UAS","桑布魯機場","桑布魯","肯雅"
"HKWJ","WJR","瓦吉爾機場","瓦吉爾","肯雅"
"HLGT","GHT","加特機場","加特","利比亞"
"HLKF","AKF","庫夫拉機場","庫夫拉","利比亞"
"HLLB","BEN","貝尼納國際機場","班加西","利比亞"
"HLLM","MJI","汨的加機場","的黎波里","利比亞"
"HLLQ","LAQ","La Abraq機場","貝達","利比亞"
"HLLS","SEB","拾哈機場","拾哈","利比亞"
"HLLT","TIP","的黎波里國際機場","的黎波里","利比亞"
"HLMB","LMQ","佈雷加機場","佈雷加","利比亞"
"HLTD","LTD","Ghadames東機場","Ghadames","利比亞"
"HRYG","GYI","吉塞尼機場","吉塞尼","盧旺達"
"HRYI","BTQ","布塔雷機場","布塔雷市","盧旺達"
"HRYR","KGL","基加利國際機場","基加利","盧旺達"
"HRYU","RHG","魯亨蓋裡機場","魯亨蓋裡","盧旺達"
"HRZA","KME","尚古古機場","尚古古","盧旺達"
"HSAT","ATB","阿特巴拉機場","阿特巴拉","蘇丹與南蘇丹"
"HSDB","EDB","Eldebba機場","Eldebba","蘇丹與南蘇丹"
"HSDN","DOG","棟古拉機場","棟古拉","蘇丹與南蘇丹"
"HSFS","ELF","法希爾機場","法希爾","蘇丹與南蘇丹"
"HSGG","DNX","基古機場","丁德爾","蘇丹與南蘇丹"
"HSGN","EGN","朱奈納機場","朱奈納","蘇丹與南蘇丹"
"HSKA","KSL","卡薩拉機場","卡薩拉","蘇丹與南蘇丹"
"HSKG","GBU","Khashm El Girba機場","Khashm El Girba","蘇丹與南蘇丹"
"HSKI","KST","華比克機場","庫斯提","蘇丹與南蘇丹"
"HSMD","","馬裡迪機場","馬裡迪","蘇丹與南蘇丹"
"HSMR","MWE","麥洛維機場","麥洛維","蘇丹與南蘇丹"
"HSNH","NUD","En Nahud機場","En Nahud","蘇丹與南蘇丹"
"HSNN","UYL","尼亞拉機場","尼亞拉","蘇丹與南蘇丹"
"HSOB","EBD","歐拜伊德機場","歐拜伊德","蘇丹與南蘇丹"
"HSPN","PZU","新蘇丹港國際機場","蘇丹港","蘇丹與南蘇丹"
"HSSJ","JUB","朱巴機場","朱巴","蘇丹與南蘇丹"
"HSSM","MAK","馬拉卡爾機場","馬拉卡爾","蘇丹與南蘇丹"
"HSSP","","蘇丹港空軍基地","蘇丹港","蘇丹與南蘇丹"
"HSSS","KRT","喀土穆國際機場","喀土穆","蘇丹與南蘇丹"
"HSSW","WHF","瓦迪哈勒法機場","瓦迪哈勒法","蘇丹與南蘇丹"
"HSWD","DNI","瓦德邁達尼機場","瓦德邁達尼，傑濟拉州","蘇丹"
"HSWW","WUU","瓦烏機場","瓦烏","蘇丹與南蘇丹"
"HTAR","ARK","阿魯沙機場","阿魯沙","坦桑尼亞"
"HTBU","BKZ","布科巴機場","布科巴","坦桑尼亞"
"HTDA","DAR","朱利葉斯·尼雷爾國際機場","達累斯薩拉姆","坦桑尼亞"
"HTDO","DOD","多多馬機場","多多馬","坦桑尼亞"
"HTIR","IRI","伊林加機場","伊林加","坦桑尼亞"
"HTKA","TKQ","基戈馬機場","基戈馬","坦桑尼亞"
"HTKI","KIY","基爾瓦馬索高機場","基爾瓦馬索高","坦桑尼亞"
"HTKJ","JRO","乞力馬扎羅國際機場","乞力馬扎羅山","坦桑尼亞"
