"ICAO","IATA","airport","city","nation"
"YCAH","CLH","庫拉機場","庫拉","澳大利亞"
"YCAR","CVQ","卡那封機場","卡那封，西澳洲","澳大利亞"
"YCAS","CSI","卡西諾機場","卡西諾","澳大利亞"
"YCBA","CAZ","科巴機場","科巴","澳大利亞"
"YCBB","COJ","庫納巴拉布蘭機場","庫納巴拉布蘭","澳大利亞"
"YCBP","CPD","庫伯佩地機場","庫伯佩地，南澳洲","澳大利亞"
"YCBR","CRB","科拉雷內布賴機場","科拉雷內布賴","澳大利亞"
"YCCA","CCL","欽奇拉機場","欽奇拉","澳大利亞"
"YCCT","CNC","椰子島機場","椰子島","澳大利亞"
"YCCY","CNJ","克朗克里機場","克朗克里","澳大利亞"
"YCDO","CBX","康多博林機場","康多博林","澳大利亞"
"YCDR","CUD","卡拉德拉機場","卡拉德拉","澳大利亞"
"YCDU","CED","塞杜納機場","塞杜納","澳大利亞"
"YCEE","CVC","克利夫機場","克利夫","澳大利亞"
"YCFD","CFI","Camfield機場","Camfield","澳大利亞"
"YCFS","CFS","科夫斯港機場","科夫斯港，新南威爾士州","澳大利亞"
"YCHK","CKW","Graeme Rowley機場","聖誕溪礦","澳大利亞"
"YCHT","CXT","查特斯堡機場","查特斯堡","澳大利亞"
"YCIN","DCN","柯廷澳洲皇家空軍基地","德比","澳大利亞"
"YCKI","CKI","克羅克島機場","克羅克島","澳大利亞"
"YCKN","CTN","庫克敦機場","庫克敦，昆士蘭州","澳大利亞"
"YCMT","CMQ","克萊蒙特機場","克萊蒙特","澳大利亞"
"YCMU","CMA","坎納馬拉機場","坎納馬拉","澳大利亞"
"YCMW","CML","卡穆威爾機場","卡穆威爾","澳大利亞"
"YCNK","CES","塞斯諾克機場","塞斯諾克，新南威爾士州","澳大利亞"
"YCNM","CNB","庫南布爾機場","庫南布爾","澳大利亞"
"YCOE","CUQ","科恩機場","科恩","澳大利亞"
"YCOI","CIE","柯利機場","柯利，西澳洲","澳大利亞"
"YCOO","CDA","Cooinda機場","Cooinda","澳大利亞"
"YCOR","CWW","科羅瓦機場","科羅瓦","澳大利亞"
"YCRG","CYG","科裡揚機場","科裡揚","澳大利亞"
"YCRK","CXQ","聖誕溪機場","聖誕溪，西澳洲","澳大利亞"
"YCRY","CDQ","克羅伊登機場","克羅伊登，昆士蘭州","澳大利亞"
"YCTM","CMD","庫塔曼德拉機場","庫塔曼德拉","澳大利亞"
"YCUA","CUG","Cudal機場","Cudal","澳大利亞"
"YCUE","CUY","克尤機場","克尤","澳大利亞"
"YCWA","CJF","Coondewanna機場","Coondewanna，西澳洲","澳大利亞"
"YCWI","CWR","Cowarie機場","Cowarie，南澳洲","澳大利亞"
"YCWL","CCW","考厄爾機場","考厄爾","澳大利亞"
"YCWR","CWT","考拉機場","考拉","澳大利亞"
"YCWY","COY","Coolawanyah Station機場","Coolawanyah Station","澳大利亞"
