"ICAO","IATA","long","lat"
"NC61",NA,-76.2108,36.4594
"NC63",NA,-80.1848,36.1351
"NC64",NA,-80.6967,35.5278
"NC65",NA,-78.268097,34.559601
"NC66",NA,-77.295799,36.131302
"NC69",NA,-78.474197,34.870998
"NC70",NA,-79.102501,34.504902
"NC71",NA,-79.0525,34.9179
"NC72",NA,-78.16,35.4515
"NC75",NA,-80.7203,35.8983
"NC76",NA,-78.3878,35.3179
"NC77",NA,-80.5756,35.4557
"NC79",NA,-80.3576,35.4071
"NC81",NA,-78.8597,35.7518
"NC82",NA,-78.702499,34.669601
"NC86",NA,-78.7531,34.7336
"NC87",NA,-76.942703,34.881802
"NC97",NA,-81.522499,35.3689
"NC99",NA,-78.6072,35.6743
"ND14",NA,-97.8018,48.2347
"ND24",NA,-97.6726,48.140301
"ND99",NA,-96.809502,46.7202
"NE11",NA,-96.0403,41.36
"NE15",NA,-96.3828,41.05
"NE17",NA,-98.455902,41.2486
"NE18",NA,-97.0806,40.9142
"NE20",NA,-96.211403,40.1861
"NE24",NA,-96.817,41.0333
"NE27",NA,-96.950302,41.366699
"NE30",NA,-99.420403,40.573601
"NE33",NA,-96.4767,40.7097
"NE34",NA,-102.953003,41.038898
"NE39",NA,-96.6503,40.95
"NE40",NA,-96.8678,40.7158
"NE42",NA,-96.7006,40.9333
"NE43",NA,-96.7542,41.4397
"NE49",NA,-96.2503,41.0667
"NE53",NA,-96.588898,40.591099
"NE56",NA,-96.395,41.3414
"NE57",NA,-96.478104,40.092201
"NE59",NA,-96.567,40.8333
"NE65",NA,-97.077797,40.766998
"NE69","EPG",-96.11,40.8675
"NE79",NA,-96.6211,40.6528
"NE80",NA,-96.6378,40.6731
"NE82",NA,-95.9995,40.9325
"NE88",NA,-96.8642,41.0208
"NE95",NA,-100.856841,40.229334
"NFTF","TBU",-175.149994,-21.241199
"NGFU","FUN",179.195999,-8.525
"NH07",NA,-71.456596,43.280399
"NH15",NA,-71.233398,43.3867
"NH16",NA,-71.707603,42.741798
"NH17",NA,-71.717598,42.7276
"NH18",NA,-71.151199,43.733398
"NH20",NA,-71.645897,43.492298
"NH31",NA,-71.1495,43.6501
"NH38",NA,-71.1698,43.9726
"NH39",NA,-72.429802,43.033401
"NH40",NA,-71.9504,43.4047
"NH43",NA,-71.137001,43.179501
"NH49",NA,-71.6795,43.9703
"NH60",NA,-71.653397,42.960602
"NH61",NA,-71.1812,42.9681
"NH67",NA,-71.009499,42.978401
"NH69",NA,-71.187,43.8306
"NH76",NA,-71.784203,42.729
"NH78",NA,-71.3692,42.7472
"NH84",NA,-71.221199,43.2076
"NH86",NA,-71.7873,43.175098
"NH88",NA,-71.611198,43.067299
"NH96",NA,-71.9047,43.8734
"NJ06",NA,-75.2732,39.4576
"NJ09",NA,-75.0704,40.7918
"NJ16",NA,-74.8628,40.7491
"NJ20",NA,-74.4246,39.8126
"NJ24",NA,-74.4,39.6967
"NJ25",NA,-75.2291,39.7893
"NJ30",NA,-75.4772,39.5308
"NJ46",NA,-74.3885,40.2765
"NJ47",NA,-74.8829,40.5168
"NJ50",NA,-74.9618,40.4807
"NJ52",NA,-74.8246,39.5918
"NJ58",NA,-74.6063,39.3926
"NJ59",NA,-74.2788,40.1829
"NJ60",NA,-74.2671,40.1871
"NJ61",NA,-75.0163,40.5501
"NJ63",NA,-75.0504,40.4679
"NJ64",NA,-75.0802,39.7057
"NJ65",NA,-74.9296,40.8534
"NJ69",NA,-74.8024,39.6585
"NJ72",NA,-74.1813,40.3512
"NJ74",NA,-75.4496,39.5626
"NJ75",NA,-74.3663,40.3501
"NJ79",NA,-74.9093,40.3515
"NJ81",NA,-74.9427,39.4423
"NJ84",NA,-75.3967,39.4331
"NJ95",NA,-75.0724,40.5557
"NJ96",NA,-74.9566,39.5262
"NJ98",NA,-74.7496,41.3168
"NK04",NA,-75.9996,43.2501
"NK05",NA,-76.5161,42.3548
"NK06",NA,-73.8554,42.0962
"NK07",NA,-74.4099,41.3279
"NK08",NA,-74.1299,41.8318
"NK09",NA,-76.8205,42.4056
"NK12",NA,-78.547,42.7695
"NK16",NA,-75.4024,44.3681
"NK17",NA,-73.5817,43.2094
"NK19",NA,-78.6614,43.0612
"NK24",NA,-76.8788,42.3473
"NK25",NA,-78.8084,43.2159
"NK26",NA,-74.976217,43.725183
"NK27",NA,-78.6348,42.489
"NK31",NA,-78.1453,43.2695
"NK43",NA,-73.9246,42.7584
"NK53",NA,-76.7705,42.205601
"NK54",NA,-76.6411,42.1767
"NK71",NA,-76.3497,43.0112
"NK72",NA,-76.5324,42.3762
"NK74",NA,-76.663597,42.744499
"NK76",NA,-77.0517,42.8825
"NK79",NA,-74.5324,41.4184
"NK81",NA,-78.3553,42.6334
"NK82",NA,-76.0149,43.3159
"NK83",NA,-74.223701,42.710098
"NK87",NA,-78.5997,43.0667
"NK89",NA,-77.058,42.2917
"NM01",NA,-107.298,34.0975
"NM02",NA,-106.167,34.9223
"NM03",NA,-104.369003,33.275101
"NM05",NA,-106.641657,31.909819
"NM08",NA,-107.403999,32.2626
"NM09",NA,-107.636002,31.8673
"NM10",NA,-103.813004,35.8792
"NM21",NA,-105.870003,35.174999
"NM24",NA,-106.559998,36.9217
"NM25",NA,-105.670998,34.124199
"NM26",NA,-107.822998,32.100101
"NM29",NA,-103.436996,35.834202
"NM30",NA,-103.067001,34.875099
"NM31",NA,-108.029722,34.496208
"NM37",NA,-107.900002,33.5765
"NM38",NA,-104.427002,34.117298
"NM41",NA,-108.096,34.0612
"NM42",NA,-103.148003,34.415798
"NM49",NA,-106.075,34.5815
"NM51",NA,-107.662003,33.3284
"NM52",NA,-103.287003,35.574699
"NM56",NA,-108.459,35.165298
"NM61",NA,-106.147,35.1167
"NM63",NA,-106.012,35.1658
"NM67",NA,-104.448,36.857
"NM69",NA,-107.940002,32.814201
"NM72",NA,-108.288002,32.741901
"NM73",NA,-103.856003,34.772301
"NM74",NA,-107.563,35.0875
"NM78",NA,-107.646004,31.877899
"NM79",NA,-106.68,32.4431
"NM83","HBB",-103.209,32.7668
"NM88",NA,-106.76,34.5433
"NM89",NA,-106.521,34.7757
"NM92",NA,-105.6115,35.2958
"NR02",NA,-79.9956,35.2378
"NR04",NA,-81.173056,35.960278
"NR40",NA,-77.378889,35.820833
"NSFA","APW",-172.007996,-13.83
"NSTU","PPG",-170.710007,-14.331
"NTAA","PPT",-149.607,-17.5537
"NTGC","TIH",-148.231,-15.1196
"NTGF","FAV",-145.657,-16.0541
"NTGU","AXR",-146.617,-15.2483
"NTGV","MVT",-148.717,-14.8681
"NTTE","TTI",-149.587,-17.0133
"NTTG","RGI",-147.661,-14.9543
"NTTH","HUH",-151.022,-16.6872
"NTTM","MOZ",-149.762,-17.49
"NV09",NA,-119.899,39.7244
"NV11","UCC",-116.038,36.9458
"NV13",NA,-119.828,39.2828
"NV17",NA,-119.813,39.6732
"NV23",NA,-119.700996,39.872101
"NV33",NA,-119.396,38.8332
"NV42",NA,-115.631,35.7758
"NV44",NA,-119.599,39.7552
"NV47",NA,-119.681999,39.833199
"NV54",NA,-115.989,36.307
"NV55",NA,-119.649,38.8989
"NV72",NA,-119.217,38.5098
"NV96",NA,-119.653999,39.825298
"NV97",NA,-119.322,38.6842
"NV98",NA,-115.9,36.1503
"NX01",NA,-94.2243,35.2779
"NY00",NA,-78.5561,42.5667
"NY01",NA,-78.315,43.2209
"NY05",NA,-74.3257,42.7815
"NY06",NA,-78.2139,43.2964
"NY07",NA,-75.1611,44.5458
"NY09",NA,-74.0163,41.5612
"NY10",NA,-75.430702,43.842602
"NY11",NA,-77.308,43.0353
"NY13",NA,-76.9905,43.0917
"NY15",NA,-77.7144,42.8265
"NY16",NA,-77.1819,43.0984
"NY17",NA,-73.8579,44.6092
"NY18",NA,-76.6169,42.4487
"NY19",NA,-76.4619,43.044
"NY24",NA,-78.97,43.1278
"NY26",NA,-74.899597,42.983398
"NY27",NA,-79.0095,42.3709
"NY28",NA,-76.408,43.0709
"NY29",NA,-76.9116,42.452
"NY31",NA,-76.3688,43.2237
"NY33",NA,-74.0287,42.5223
"NY34",NA,-77.4275,42.1622
"NY35",NA,-74.1163,41.7501
"NY37",NA,-74.0912,43.0092
"NY38",NA,-77.1247,42.8531
"NY40",NA,-78.595596,42.6106
"NY42",NA,-76.6899,43.2201
"NY49",NA,-78.9864,42.9928
"NY50",NA,-74.136101,42.991699
"NY51",NA,-74.4993,42.8701
"NY55",NA,-76.5969,42.4473
"NY57",NA,-75.184601,43.3601
"NY58",NA,-74.0815,42.9567
"NY59",NA,-75.486298,43.387299
"NY60",NA,-73.5593,44.7625
"NY62",NA,-75.5419,43.1458
"NY63",NA,-73.4783,43.0533
"NY64",NA,-74.1551,43.1029
"NY65",NA,-74.1162,43.1373
"NY66",NA,-74.1162,43.1334
"NY67",NA,-75.9117,42.9931
"NY68",NA,-74.945396,42.861198
"NY70",NA,-77.9203,42.6489
"NY72",NA,-75.9385,43.0723
"NY73",NA,-75.5991,42.3181
"NY74",NA,-73.8732,42.3237
"NY76",NA,-78.8953,42.3157
"NY77",NA,-74.1635,42.7181
"NY79",NA,-78.3403,42.5967
"NY81",NA,-74.0648,42.6112
"NY82",NA,-73.6162,42.5806
"NY86",NA,-74.1149,42.5126
"NY87",NA,-74.2537,42.9626
"NY89",NA,-79.3935,42.0783
"NY91",NA,-75.702774,42.994026
"NY92",NA,-76.4858,42.7358
"NY94",NA,-73.8629,41.9715
"NY96",NA,-76.1938,43.4267
"NY97",NA,-73.5662,44.6667
"NZAA","AKL",174.792,-37.0081
"NZAE",NA,176.517,-38.233
"NZAG",NA,175.649994,-36.731701
"NZAN",NA,175.856003,-40.698101
"NZAP","TUO",176.084,-38.7397
"NZAR","AMZ",174.973,-37.0297
"NZAS","ASG",171.797,-43.9033
"NZBA",NA,169.75,-46.243301
"NZCB",NA,168.311996,-46.040001
"NZCH","CHC",172.532,-43.4894
"NZCX","CMV",175.509003,-36.791698
"NZDA","DGR",173.893997,-35.939701
"NZDN","DUD",170.197998,-45.928101
"NZDV",NA,176.078995,-40.228298
"NZES",NA,175.55,-38.1483
"NZFF",NA,172.361,-43.3858
"NZFI",NA,175.604996,-40.255798
"NZFP",NA,175.270004,-40.456699
